_officeFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent - All Classes (psf),Gross Rent - Class A (psf),Vacancy Rate
0,2012-10-01,2012-01-01,2013-01-01,Bedford,24.56,24.56,29.49,0.232
0,2012-10-01,2012-01-01,2013-01-01,Dartmouth,25.28,25.28,26.2,0.072
0,2012-10-01,2012-01-01,2013-01-01,Halifax - Central Business District,28.74,28.74,33.35,0.109
0,2012-10-01,2012-01-01,2013-01-01,Halifax - Suburban,26.2,26.2,28.74,0.071
1,2012-10-01,2012-01-01,2013-01-01,HRM,27.06,27.06,29.248780297,0.096
0,2013-01-01,2012-04-01,2013-04-01,Bedford,24.56,24.56,29.49,0.2474
0,2013-01-01,2012-04-01,2013-04-01,Dartmouth,25.21,25.21,26.1,0.091
0,2013-01-01,2012-04-01,2013-04-01,Halifax - Central Business District,28.79,28.79,33.52,0.09
0,2013-01-01,2012-04-01,2013-04-01,Halifax - Suburban,26.1,26.1,28.79,0.064
1,2013-01-01,2012-04-01,2013-04-01,HRM,27.03,27.03,29.665119695,0.091
0,2013-04-01,2012-07-01,2013-07-01,Bedford,24.56,24.56,29.49,0.248
0,2013-04-01,2012-07-01,2013-07-01,Dartmouth,25.23,25.23,26.21,0.094
0,2013-04-01,2012-07-01,2013-07-01,Halifax - Central Business District,28.78,28.78,33.52,0.082
0,2013-04-01,2012-07-01,2013-07-01,Halifax - Suburban,26.21,26.21,28.78,0.092
1,2013-04-01,2012-07-01,2013-07-01,HRM,27.06,27.06,29.681696075,0.097
0,2013-07-01,2012-10-01,2013-10-01,Bedford,24.72,24.72,29.49,0.297
0,2013-07-01,2012-10-01,2013-10-01,Dartmouth,25.51,25.51,26.63,0.154
0,2013-07-01,2012-10-01,2013-10-01,Halifax - Central Business District,28.84,28.84,33.51,0.091
0,2013-07-01,2012-10-01,2013-10-01,Halifax - Suburban,26.63,26.63,28.84,0.098
1,2013-07-01,2012-10-01,2013-10-01,HRM,27.22,27.22,29.773430554,0.119
0,2013-10-01,2013-01-01,2014-01-01,Bedford,24.71,24.71,29.49,0.239
0,2013-10-01,2013-01-01,2014-01-01,Dartmouth,24.87,24.87,27.44,0.164
0,2013-10-01,2013-01-01,2014-01-01,Halifax - Central Business District,28.82,28.82,33.95,0.099
0,2013-10-01,2013-01-01,2014-01-01,Halifax - Suburban,26.42,26.42,28.82,0.105
1,2013-10-01,2013-01-01,2014-01-01,HRM,26.97,26.97,30.061028841,0.123
0,2014-01-01,2013-04-01,2014-04-01,Bedford,24.71,24.71,29.49,0.297
0,2014-01-01,2013-04-01,2014-04-01,Dartmouth,24.69,24.69,27.41,0.165
0,2014-01-01,2013-04-01,2014-04-01,Halifax - Central Business District,28.76,28.76,34.08,0.105
0,2014-01-01,2013-04-01,2014-04-01,Halifax - Suburban,26.43,26.43,28.36,0.086
1,2014-01-01,2013-04-01,2014-04-01,HRM,26.91,26.91,30.35,0.123
0,2014-04-01,2013-07-01,2014-07-01,Bedford,24.2,24.2,27.5,0.29
0,2014-04-01,2013-07-01,2014-07-01,Dartmouth,24.64,24.64,27.29,0.165
0,2014-04-01,2013-07-01,2014-07-01,Halifax - Central Business District,28.93,28.93,34.22,0.114
0,2014-04-01,2013-07-01,2014-07-01,Halifax - Suburban,26.47,26.47,28.24,0.088
1,2014-04-01,2013-07-01,2014-07-01,HRM,26.96,26.96,30.29,0.128
0,2014-07-01,2013-10-01,2014-10-01,Bedford,24.2,24.2,27.5,0.291
0,2014-07-01,2013-10-01,2014-10-01,Dartmouth,24.71,24.71,27.34,0.161
0,2014-07-01,2013-10-01,2014-10-01,Halifax - Central Business District,28.97,28.97,34.34,0.119
0,2014-07-01,2013-10-01,2014-10-01,Halifax - Suburban,26.58,26.58,28.24,0.077
1,2014-07-01,2013-10-01,2014-10-01,HRM,27.02,27.02,30.31,0.126
0,2014-10-01,2014-01-01,2015-01-01,Bedford,25.15,25.15,27.5,0.276
0,2014-10-01,2014-01-01,2015-01-01,Dartmouth,24.97,24.97,27.43,0.147
0,2014-10-01,2014-01-01,2015-01-01,Halifax - Central Business District,28.81,28.81,33.85,0.12
0,2014-10-01,2014-01-01,2015-01-01,Halifax - Suburban,27.38,27.38,29.6,0.107
1,2014-10-01,2014-01-01,2015-01-01,HRM,27.49,27.49,30.83,0.132
0,2015-01-01,2014-04-01,2015-04-01,Bedford,25.15,25.15,27.5,0.248
0,2015-01-01,2014-04-01,2015-04-01,Dartmouth,24.98,24.98,27.4,0.154
0,2015-01-01,2014-04-01,2015-04-01,Halifax - Central Business District,28.74,28.74,33.76,0.13
0,2015-01-01,2014-04-01,2015-04-01,Halifax - Suburban,27.39,27.39,29.54,0.104
1,2015-01-01,2014-04-01,2015-04-01,HRM,27.46,27.46,30.82,0.136
0,2015-04-01,2014-07-01,2015-07-01,Bedford,24.32,24.32,23.81,0.203
0,2015-04-01,2014-07-01,2015-07-01,Dartmouth,25.06,25.06,27.53,0.155
0,2015-04-01,2014-07-01,2015-07-01,Halifax - Central Business District,28.86,28.86,33.85,0.117
0,2015-04-01,2014-07-01,2015-07-01,Halifax - Suburban,27.52,27.52,29.54,0.117
1,2015-04-01,2014-07-01,2015-07-01,HRM,27.42,27.42,30.55,0.126
0,2015-07-01,2014-10-01,2015-10-01,Bedford,24.32,24.32,23.81,0.182
0,2015-07-01,2014-10-01,2015-10-01,Dartmouth,25.06,25.06,27.53,0.142
0,2015-07-01,2014-10-01,2015-10-01,Halifax - Central Business District,28.86,28.86,33.85,0.128
0,2015-07-01,2014-10-01,2015-10-01,Halifax - Suburban,27.52,27.52,29.54,0.133
1,2015-07-01,2014-10-01,2015-10-01,HRM,27.42,27.42,30.55,0.136
0,2015-10-01,2015-01-01,2016-01-01,Bedford,24.23,24.23,23.65,0.178
0,2015-10-01,2015-01-01,2016-01-01,Dartmouth,25.03,25.03,27.51,0.139
0,2015-10-01,2015-01-01,2016-01-01,Halifax - Central Business District,28.92,28.92,33.75,0.143
0,2015-10-01,2015-01-01,2016-01-01,Halifax - Suburban,27.79,27.79,30.21,0.102
1,2015-10-01,2015-01-01,2016-01-01,HRM,26.44,26.44,30.44,0.136
0,2016-01-01,2015-04-01,2016-04-01,Bedford,25.99,25.99,27.65,0.134
0,2016-01-01,2015-04-01,2016-04-01,Dartmouth,25.15,25.15,27.48,0.144
0,2016-01-01,2015-04-01,2016-04-01,Halifax - Central Business District,28.92,28.92,33.75,0.146
0,2016-01-01,2015-04-01,2016-04-01,Halifax - Suburban,26.98,26.98,28.84,0.113
1,2016-01-01,2015-04-01,2016-04-01,HRM,27.44,27.44,30.34,0.14
0,2016-04-01,2015-07-01,2016-07-01,Bedford,24.64,24.64,27.65,0.148
0,2016-04-01,2015-07-01,2016-07-01,Dartmouth,25.14,25.14,27.47,0.143
0,2016-04-01,2015-07-01,2016-07-01,Halifax - Central Business District,28.93,28.93,33.75,0.146
0,2016-04-01,2015-07-01,2016-07-01,Halifax - Suburban,26.99,26.99,28.85,0.15
1,2016-04-01,2015-07-01,2016-07-01,HRM,27.26,27.26,30.34,0.145
0,2016-07-01,2015-10-01,2016-10-01,Bedford,26.06,26.06,27.79,0.256
0,2016-07-01,2015-10-01,2016-10-01,Dartmouth,25.13,25.13,27.46,0.166
0,2016-07-01,2015-10-01,2016-10-01,Halifax - Central Business District,29.92,29.92,33.75,0.147
0,2016-07-01,2015-10-01,2016-10-01,Halifax - Suburban,26.98,26.98,28.83,0.142
1,2016-07-01,2015-10-01,2016-10-01,HRM,27.49,27.49,30.36,0.159
0,2016-10-01,2016-01-01,2017-01-01,Bedford,25.56,25.56,26.29,0.252
0,2016-10-01,2016-01-01,2017-01-01,Dartmouth,25.26,25.26,27.57,0.153
0,2016-10-01,2016-01-01,2017-01-01,Halifax - Central Business District,29.1,29.1,34.16,0.151
0,2016-10-01,2016-01-01,2017-01-01,Halifax - Suburban,27.34,27.34,29.02,0.151
1,2016-10-01,2016-01-01,2017-01-01,HRM,27.59,27.59,30.57,0.158
0,2017-01-01,2016-04-01,2017-04-01,Bedford,25.72,25.72,26.39,0.251
0,2017-01-01,2016-04-01,2017-04-01,Dartmouth,25.3,25.3,27.74,0.17
0,2017-01-01,2016-04-01,2017-04-01,Halifax - Central Business District,29.12,29.12,34.16,0.15
0,2017-01-01,2016-04-01,2017-04-01,Halifax - Suburban,27.22,27.22,28.97,0.113
1,2017-01-01,2016-04-01,2017-04-01,HRM,27.6,27.6,30.62,0.154
0,2017-04-01,2016-07-01,2017-07-01,Bedford,25.76,25.76,26.29,0.232
0,2017-04-01,2016-07-01,2017-07-01,Dartmouth,25.24,25.24,27.62,0.157
0,2017-04-01,2016-07-01,2017-07-01,Halifax - Central Business District,29,29,34.11,0.154
0,2017-04-01,2016-07-01,2017-07-01,Halifax - Suburban,27.08,27.08,28.84,0.101
1,2017-04-01,2016-07-01,2017-07-01,HRM,27.56,27.56,30.53,0.15
0,2017-07-01,2016-10-01,2017-10-01,Bedford,26.14,26.14,27.88,0.135
0,2017-07-01,2016-10-01,2017-10-01,Dartmouth,25.24,25.24,27.62,0.158
0,2017-07-01,2016-10-01,2017-10-01,Halifax - Central Business District,29.7,29.7,35.09,0.176
0,2017-07-01,2016-10-01,2017-10-01,Halifax - Suburban,26.81,26.81,28.84,0.077
1,2017-07-01,2016-10-01,2017-10-01,HRM,27.93,27.93,31.22,0.155
0,2017-10-01,2017-01-01,2018-01-01,Bedford,25.73,25.73,26.29,0.222
0,2017-10-01,2017-01-01,2018-01-01,Dartmouth,25.29,25.29,27.7,0.134
0,2017-10-01,2017-01-01,2018-01-01,Halifax - Central Business District,29.58,29.58,35.01,0.196
0,2017-10-01,2017-01-01,2018-01-01,Halifax - Suburban,27.13,27.13,29.03,0.073
1,2017-10-01,2017-01-01,2018-01-01,HRM,27.93,27.93,31.24,0.159
0,2018-01-01,2017-04-01,2018-04-01,Bedford,25.59,25.59,26.29,0.206
0,2018-01-01,2017-04-01,2018-04-01,Dartmouth,25.25,25.25,27.63,0.139
0,2018-01-01,2017-04-01,2018-04-01,Halifax - Central Business District,29.55,29.55,34.87,0.196
0,2018-01-01,2017-04-01,2018-04-01,Halifax - Suburban,27.19,27.19,29.03,0.077
1,2018-01-01,2017-04-01,2018-04-01,HRM,27.91,27.91,31.16,0.16
0,2018-04-01,2017-07-01,2018-07-01,Bedford,25.58,25.58,26.29,0.191
0,2018-04-01,2017-07-01,2018-07-01,Dartmouth,25.24,25.24,27.62,0.15
0,2018-04-01,2017-07-01,2018-07-01,Halifax - Central Business District,29.56,29.56,34.91,0.185
0,2018-04-01,2017-07-01,2018-07-01,Halifax - Suburban,27.24,27.24,29.16,0.057
1,2018-04-01,2017-07-01,2018-07-01,HRM,27.92,27.92,31.2,0.151
0,2018-07-01,2017-10-01,2018-10-01,Bedford,25.72,25.72,26.53,0.191
0,2018-07-01,2017-10-01,2018-10-01,Dartmouth,25.16,25.16,27.62,0.127
0,2018-07-01,2017-10-01,2018-10-01,Halifax - Central Business District,29.55,29.55,34.89,0.203
0,2018-07-01,2017-10-01,2018-10-01,Halifax - Suburban,27.58,27.58,29.16,0.056
1,2018-07-01,2017-10-01,2018-10-01,HRM,27.91,27.91,31.21,0.155
0,2018-10-01,2018-01-01,2019-01-01,Bedford,25.81,25.81,26.72,0.153
0,2018-10-01,2018-01-01,2019-01-01,Dartmouth,25.53,25.53,28.04,0.122
0,2018-10-01,2018-01-01,2019-01-01,Halifax - Central Business District,29.52,29.52,34.66,0.191
0,2018-10-01,2018-01-01,2019-01-01,Halifax - Suburban,27.92,27.92,29.1,0.063
1,2018-10-01,2018-01-01,2019-01-01,HRM,28.06,28.06,31.23,0.147
0,2019-01-01,2018-04-01,2019-04-01,Bedford,25.76,25.76,26.72,0.127
0,2019-01-01,2018-04-01,2019-04-01,Dartmouth,25.79,25.79,28.04,0.128
0,2019-01-01,2018-04-01,2019-04-01,Halifax - Central Business District,29.62,29.62,34.87,0.192
0,2019-01-01,2018-04-01,2019-04-01,Halifax - Suburban,27.32,27.32,29.1,0.067
1,2019-01-01,2018-04-01,2019-04-01,HRM,28.09,28.09,31.32,0.147
0,2019-04-01,2018-07-01,2019-07-01,Bedford,26.33,26.33,27.21,0.148
0,2019-04-01,2018-07-01,2019-07-01,Dartmouth,25.96,25.96,28.24,0.142
0,2019-04-01,2018-07-01,2019-07-01,Halifax - Central Business District,30.01,30.01,35.12,0.198
0,2019-04-01,2018-07-01,2019-07-01,Halifax - Suburban,27.45,27.45,29.42,0.067
1,2019-04-01,2018-07-01,2019-07-01,HRM,28.39,28.39,31.55,0.155
0,2019-07-01,2018-10-01,2019-10-01,Bedford,25.55,25.55,27,0.1
0,2019-07-01,2018-10-01,2019-10-01,Dartmouth,26.04,26.04,28.26,0.146
0,2019-07-01,2018-10-01,2019-10-01,Halifax - Central Business District,30.26,30.26,35.12,0.203
0,2019-07-01,2018-10-01,2019-10-01,Halifax - Suburban,27.51,27.51,29.72,0.058
1,2019-07-01,2018-10-01,2019-10-01,HRM,28.49,28.49,31.59,0.153
0,2019-10-01,2019-01-01,2020-01-01,Bedford,25.43,25.43,26.77,0.085
0,2019-10-01,2019-01-01,2020-01-01,Dartmouth,26.8,26.8,29.1,0.155
0,2019-10-01,2019-01-01,2020-01-01,Halifax - Central Business District,30.35,30.35,35.12,0.188
0,2019-10-01,2019-01-01,2020-01-01,Halifax - Suburban,28.15,28.15,29.96,0.059
1,2019-10-01,2019-01-01,2020-01-01,HRM,28.7,28.7,31.7,0.147
0,2020-01-01,2019-04-01,2020-04-01,Bedford,25.62,25.62,27,0.077
0,2020-01-01,2019-04-01,2020-04-01,Dartmouth,26.99,26.99,29.29,0.159
0,2020-01-01,2019-04-01,2020-04-01,Halifax - Central Business District,30.34,30.34,35.12,0.195
0,2020-01-01,2019-04-01,2020-04-01,Halifax - Suburban,28.24,28.24,20.04,0.071
1,2020-01-01,2019-04-01,2020-04-01,HRM,28.77,28.77,31.78,0.153
0,2020-04-01,2019-07-01,2020-07-01,Bedford,25.63,25.63,27,0.079
0,2020-04-01,2019-07-01,2020-07-01,Dartmouth,26.98,26.98,29.29,0.16
0,2020-04-01,2019-07-01,2020-07-01,Halifax - Central Business District,30.5,30.5,35.37,0.181
0,2020-04-01,2019-07-01,2020-07-01,Halifax - Suburban,28.24,28.24,30.15,0.061
1,2020-04-01,2019-07-01,2020-07-01,HRM,28.84,28.84,31.91,0.145
0,2020-07-01,2019-10-01,2020-10-01,Bedford,25.63,25.63,27,0.066
0,2020-07-01,2019-10-01,2020-10-01,Dartmouth,26.97,26.97,29.29,0.143
0,2020-07-01,2019-10-01,2020-10-01,Halifax - Central Business District,30.47,30.47,35.37,0.194
0,2020-07-01,2019-10-01,2020-10-01,Halifax - Suburban,28.36,28.36,30.15,0.057
1,2020-07-01,2019-10-01,2020-10-01,HRM,28.85,28.85,31.91,0.145
0,2020-10-01,2020-01-01,2021-01-01,Bedford,25.7,25.7,27,0.075
0,2020-10-01,2020-01-01,2021-01-01,Dartmouth,26.92,26.92,29.16,0.156
0,2020-10-01,2020-01-01,2021-01-01,Halifax - Central Business District,30.43,30.43,35.38,0.195
0,2020-10-01,2020-01-01,2021-01-01,Halifax - Suburban,28.2,28.2,29.75,0.051
1,2020-10-01,2020-01-01,2021-01-01,HRM,28.8,28.8,31.8,0.148
0,2021-01-01,2020-04-01,2021-04-01,Bedford,25.7,25.7,27,0.072
0,2021-01-01,2020-04-01,2021-04-01,Dartmouth,27.02,27.02,29.27,0.153
0,2021-01-01,2020-04-01,2021-04-01,Halifax - Central Business District,30.46,30.46,35.43,0.194
0,2021-01-01,2020-04-01,2021-04-01,Halifax - Suburban,28.23,28.23,29.75,0.048
1,2021-01-01,2020-04-01,2021-04-01,HRM,28.83,28.83,31.85,0.147
0,2021-04-01,2020-07-01,2021-07-01,Bedford,25.8,25.8,27.18,0.061
0,2021-04-01,2020-07-01,2021-07-01,Dartmouth,26.99,26.99,29.27,0.149
0,2021-04-01,2020-07-01,2021-07-01,Halifax - Central Business District,30.49,30.49,35.44,0.197
0,2021-04-01,2020-07-01,2021-07-01,Halifax - Suburban,28.19,28.19,29.75,0.047
1,2021-04-01,2020-07-01,2021-07-01,HRM,28.84,28.84,31.87,0.156
0,2021-07-01,2020-10-01,2021-10-01,Bedford,26.18,26.18,27.12,0.062
0,2021-07-01,2020-10-01,2021-10-01,Dartmouth,26.95,26.95,29.27,0.143
0,2021-07-01,2020-10-01,2021-10-01,Halifax - Central Business District,30.62,30.62,35.74,0.193
0,2021-07-01,2020-10-01,2021-10-01,Halifax - Suburban,28.19,28.19,29.78,0.053
1,2021-07-01,2020-10-01,2021-10-01,HRM,28.92,28.92,32,0.144
0,2021-10-01,2021-01-01,2022-01-01,Bedford,26.52,26.52,27.12,0.057
0,2021-10-01,2021-01-01,2022-01-01,Dartmouth,27.28,27.28,28.76,0.123
0,2021-10-01,2021-01-01,2022-01-01,Halifax - Central Business District,30.77,30.77,35.66,0.192
0,2021-10-01,2021-01-01,2022-01-01,Halifax - Suburban,28.46,28.46,29.94,0.077
1,2021-10-01,2021-01-01,2022-01-01,HRM,29.16,29.16,32.08,0.142
